Date,PM10,PM2.5,O3,NO2,CO,SO2,D-10,D-12,B-06,temp,use_count
2020-02-07,-0.147248109,0.601026098,-0.680265463,0.242349269,0.606813483,1.043327284,-2.267920512,0.548788544,-0.824372995,-1.507307303,-1.271996018
2020-02-08,-0.0499258959,0.824235283,0.656942076,-1.18442106,0.0122013435,1.043327284,-2.658134125,0.592028445,-1.033282887,-1.34876466,-1.386502759
2020-02-09,-0.0823666337,0.601026098,-0.0952371649,-0.153975822,0.606813483,2.126668541,-3.660336439,-0.0397885743,-2.707373255,-1.388400321,-1.36360141
2020-02-10,0.14471853,1.121847528,-0.680265463,0.955734434,1.201425622,2.126668541,-2.513047619,0.344103349,-1.247815248,-0.942499139,-1.260545344
2020-02-11,0.274481481,1.270653651,-1.014567348,1.986179672,2.3906499,3.210009797,-2.212511284,0.419313827,-0.962123504,-0.665049515,-1.271996018
2020-02-12,0.242040744,1.270653651,-1.265293762,1.827649635,2.3906499,2.126668541,-2.577852925,-0.01124779,-1.136947173,-0.605596024,-1.546812196
2020-02-13,0.631329596,2.163490389,-0.930991877,0.876469416,1.796037761,1.043327284,-2.338667456,0.5295572,-1.120079763,-0.69477626,-1.271996018
2020-02-14,1.215262875,3.428342433,-0.596689992,0.717939379,2.3906499,1.043327284,-2.043520049,0.731792543,-0.816114993,-0.536233618,-1.042982536
2020-02-15,0.663770334,2.312296512,-0.178812636,0.559409342,2.3906499,2.126668541,-2.520785566,0.63453339,-1.137649981,-0.36778206,-1.317798714
2020-02-16,-0.471655486,0.00580160671,0.155489249,-1.18442106,0.606813483,-0.0400139725,-3.963774504,-0.386075258,-2.726876197,-1.477580557,-1.581164218
2020-02-17,-0.179688847,0.749832221,0.489791134,-1.18442106,0.0122013435,1.043327284,-2.957150506,-0.132270515,-1.414732319,-1.923481739,-1.489558826
2020-02-18,-0.633859175,-0.440616762,0.23906472,-1.105156042,-0.582410796,1.043327284,-2.446584181,0.225040506,-1.059462511,-1.745121267,-1.466657477
